Average greedy latency,MaxReturn,Average latency,MinReturn,PolicyExecTime,AverageDiscountedReturn,EnvExecTime,Itr,Average reward,NumTrajs,StdReturn,AverageReturn
114500902.6438496,-6.586624024238188,352023650.341966,-18.612183765825154,2.506075859069824,-10.92253681707324,0.7761211395263672,54,-11.66374141498897,10000,3.1953038301958303,-11.88223161397237
114969433.6476622,-6.69284942818855,542279.3998691489,-18.612025594592524,2.532294273376465,-10.741072942120539,0.779686689376831,55,-11.395215620513826,10000,3.1272368900927723,-11.670646119003996
114930866.08414999,-5.914910843296412,1884415.4595096032,-18.9623226625644,2.5310299396514893,-10.222922401036753,0.8217597007751465,56,-11.042327110536437,10000,3.061974097857666,-11.068444135093749
114489527.66520657,-5.184618239475053,410122.38515626395,-19.2650278804007,2.543187379837036,-10.010315065746656,0.8573164939880371,57,-10.885449617272654,10000,3.1716510200083716,-10.848676786627566
114872181.96543804,-4.329821432593417,1796996.6431468679,-19.6997947810298,2.5243172645568848,-9.971534297099712,0.8985447883605957,58,-10.983852987979615,10000,3.268906135169046,-10.832950282524873
721537.939472687,-4.212074311733157,362150.7201793818,-19.58735896058223,2.5044302940368652,-9.999605671585517,0.9072763919830322,59,-10.824059918659446,10000,3.345956948200963,-10.876260938891598
114925741.7129835,-4.971459559978133,323568062.4496742,-19.824880288701056,2.492727756500244,-10.054225158854146,0.8994083404541016,60,-10.84964987896617,10000,3.253259352698242,-10.927242027296924
114433814.73569845,-4.933567927707823,322626414.4479808,-19.824880288701056,2.5301413536071777,-9.987525366819888,0.8977882862091064,61,-10.877424844305395,10000,3.283977792947695,-10.850577796818705
114842738.3884442,-4.971459559978133,315755399.8302842,-19.699794781029794,2.5112459659576416,-10.026571350614221,0.8969714641571045,62,-10.87995364766863,10000,3.3166300033578655,-10.891895368277403
114500375.16027282,-5.610590387871305,268003.4508442566,-19.237369667661987,2.5280463695526123,-10.010942456198551,0.8601312637329102,63,-10.829637702225488,10000,3.197116617747052,-10.852038052110773
725599.2388783861,-5.736809642007518,524106.69137681363,-18.962145264494705,2.4982707500457764,-10.13752001977572,0.8283014297485352,64,-10.893346713958042,10000,3.06984144950793,-10.976517447195347
