Itr,NumTrajs,PolicyExecTime,StdReturn,AverageDiscountedReturn,Average greedy latency,EnvExecTime,Average latency,MaxReturn,Average reward,MinReturn,AverageReturn
69,10000,1.4933381080627441,1.3472517706156177,-6.4305196293680025,802.2878822220258,0.8449530601501465,1000.5243807654981,-2.8250510778378386,-7.005858167872252,-12.516935145284682,-7.004187151144238
70,10000,1.5072040557861328,1.4831184494246772,-6.767725609771528,828.4040740170615,0.860586404800415,1119.921894649203,-3.3910665855452464,-7.796735690230981,-12.53096759924437,-7.364809747283996
71,10000,1.5157978534698486,1.652717174145084,-6.463354231233895,832.572896149935,0.8671755790710449,1009.6590472671563,-2.7045200916377574,-6.953791380566858,-13.119237913840633,-7.029324644446399
72,10000,1.511124849319458,1.6025896844009289,-6.1531304270085805,822.3949616004536,0.8735120296478271,981.5490034446988,-2.588892137010883,-6.783024771275994,-12.731780005587215,-6.682671660817867
73,10000,1.508476972579956,1.7273575146764848,-6.255160231845743,831.4124676484789,0.8938696384429932,1061.5159449332045,-2.5713431190402383,-7.461228782313771,-14.150761304736122,-6.782732933664883
74,10000,1.5069549083709717,1.7835816958711295,-6.566150922965815,839.0804327965463,0.9226837158203125,1082.7881997917311,-2.532408493564325,-7.491818833421123,-13.18040959791921,-7.1025114373506
75,10000,1.5064043998718262,1.8388018400879151,-6.18515984062145,819.3678140370232,0.9280917644500732,903.0966435127721,-2.3203709577499967,-6.287878193491875,-13.302144216394371,-6.700593538314701
76,10000,1.5116956233978271,1.510555087399849,-7.201431070079727,839.9468870358603,0.9442117214202881,1128.4105441162899,-3.164373969668456,-7.843620359967594,-13.03055126075351,-7.782044922629065
77,10000,1.5265185832977295,1.6952905853486835,-6.37897038545597,805.5749575946674,0.9384300708770752,1019.7449191168049,-2.276168164489857,-7.166730661829671,-12.800800607494306,-6.91187462213564
78,10000,1.6306297779083252,1.700718303450436,-6.724370430089695,822.7728365343229,0.9737985134124756,964.3959683811378,-2.5768894407728253,-6.723870362171551,-13.229020362921785,-7.274136033420954
79,10000,1.632951259613037,1.7628787842286946,-7.005714333009307,837.9479015387262,0.9456601142883301,1004.1946585566602,-2.4809322590081027,-7.02538679392231,-12.647430739837315,-7.574646306622435
80,10000,1.6335227489471436,1.8601944638570531,-6.200042001262832,812.3156838300023,0.9432582855224609,1010.7490948349434,-2.3996708080768454,-7.02396140442177,-12.242187842818213,-6.708296244983532
