PolicyExecTime,Itr,Average reward,NumTrajs,Average latency,EnvExecTime,AverageReturn,AverageDiscountedReturn,MaxReturn,Average greedy latency,MinReturn,StdReturn
1.2319767475128174,281,-12.576022557216323,5000,658556624.0079099,0.37639808654785156,-12.576022557216323,-11.520515350787141,-7.2935582049692975,420443996.46725076,-17.499993271696958,3.404320963837228
1.2208430767059326,282,-12.586978976828307,5000,661912902.6879882,0.3768148422241211,-12.586978976828307,-11.529698350592673,-7.3948936587772245,420443996.46725076,-17.499993271696958,3.421769728750193
1.2312021255493164,283,-12.562113909330506,5000,661912173.1959772,0.40375280380249023,-12.562113909330506,-11.509010238141236,-7.566935277668387,420443996.4672507,-17.499993271696958,3.4001901268194548
1.2303638458251953,284,-12.509220833863672,5000,645126672.46619,0.3951261043548584,-12.509220833863672,-11.464684786512814,-7.324423049894202,420443996.46725094,-17.499993271696958,3.3772528138346045
1.2213387489318848,285,-12.417164156169738,5000,658542231.4802552,0.3816840648651123,-12.417164156169738,-11.387534952968405,-7.3948936587772245,420443996.46725076,-17.499993271696958,3.3398216461014454
1.2150676250457764,286,-12.287831008379484,5000,635048687.3521515,0.3826446533203125,-12.287831008379484,-11.278685421734647,-7.071752913116526,420443996.46725076,-17.499993271696958,3.2751245086240344
1.2422981262207031,287,-12.133850613295067,5000,631682672.486282,0.3857390880584717,-12.133850613295065,-11.148582700018178,-7.391234785811831,420443996.4672507,-17.499993271696958,3.2089052832736056
1.2040176391601562,288,-11.88379750372553,5000,604814536.2560565,0.38858699798583984,-11.88379750372553,-10.93615374133007,-6.99329528722948,420443996.4672509,-18.390310228250268,3.1043341293693567
1.231172800064087,289,-11.558708282136706,5000,574887679.4009606,0.4199979305267334,-11.558708282136706,-10.65815794134981,-6.409197587783612,420443996.4672507,-17.836020717287205,2.982036121615316
1.2162549495697021,290,-11.39556636438062,5000,594720941.1595118,0.3970208168029785,-11.39556636438062,-10.51700991747979,-6.620595504981398,420443996.46725076,-17.83676061153715,2.9504085838883456
1.2189617156982422,291,-11.286687167036126,5000,571281408.4856672,0.4088907241821289,-11.286687167036126,-10.422247222767554,-6.438787490661878,420443996.4672509,-17.836020717287205,2.927755394974656
1.2427277565002441,292,-11.307746293587247,5000,565278884.266264,0.40468716621398926,-11.307746293587247,-10.439541770402316,-6.332848055117201,420443996.46725076,-18.737284203837607,2.9386355182433674
1.2324812412261963,293,-11.323155686253315,5000,574639701.6113582,0.40024900436401367,-11.323155686253315,-10.451619490474648,-6.283287555825683,420443996.4672507,-18.612025594592524,2.9568233435872506
1.2523043155670166,294,-11.431612135381759,5000,594719693.0034931,0.4012279510498047,-11.431612135381759,-10.54447316490912,-6.766935059469269,420443996.46725076,-18.736636371961097,3.007140371424189
1.2248013019561768,295,-11.551509912523604,5000,594787631.459736,0.42839789390563965,-11.551509912523603,-10.64666806382419,-6.594891088566932,420443996.4672507,-17.585849701944685,3.030019487902049
1.22940993309021,296,-11.73237129210851,5000,594742125.8593466,0.3925621509552002,-11.73237129210851,-10.801241615676823,-6.776017614922993,420443996.4672507,-17.499886062515873,3.1074577668643166
1.2399604320526123,297,-11.910806098264135,5000,635025810.4931822,0.3896512985229492,-11.910806098264135,-10.953875676747996,-6.980379819465164,420443996.46725076,-18.586533763314762,3.1619301939465156
1.2292053699493408,298,-12.0909554190095,5000,638396586.9438133,0.38979029655456543,-12.0909554190095,-11.107668564214013,-6.803842782982609,420443996.46725076,-17.499993271696958,3.2349769648658357
1.2328283786773682,299,-12.258683863441867,5000,641754472.4318606,0.3829209804534912,-12.258683863441867,-11.250470304648884,-7.1549406569457945,420443996.4672507,-17.499993271696958,3.2953305899070195
1.2340452671051025,300,-12.404740903237204,5000,648478436.6702857,0.38143348693847656,-12.404740903237204,-11.374172662334328,-7.067438192716901,420443996.46725076,-17.499993271696958,3.3529167885003837
1.218977689743042,301,-12.517364057705331,5000,651841000.779214,0.37636876106262207,-12.517364057705331,-11.46987577989489,-7.342811545020157,420443996.4672509,-17.499993271696958,3.402627835219283
1.2117462158203125,302,-12.586978753996153,5000,655198348.0454334,0.37708234786987305,-12.586978753996153,-11.528804707725975,-7.155145976288543,420443996.4672507,-18.112069807566442,3.425561316445067
1.2207484245300293,303,-12.635408175712394,5000,651846768.0571308,0.37567758560180664,-12.635408175712394,-11.56975538650148,-7.3948936587772245,420443996.46725076,-17.499993271696958,3.4442044986067164
1.2288167476654053,304,-12.649065350973073,5000,655204322.8763739,0.37837648391723633,-12.649065350973073,-11.58136080731655,-7.517681937617526,420443996.46725076,-17.499993271696958,3.4446878376262533
1.2243030071258545,305,-12.64214843395194,5000,661914631.3336364,0.37251996994018555,-12.642148433951938,-11.575738821230727,-7.2935582049692975,420443996.46725076,-17.499993271696958,3.443526225141274
1.2268643379211426,306,-12.628315280710709,5000,665270029.6264335,0.37838029861450195,-12.628315280710709,-11.564182829338144,-7.342811545020157,420443996.46725076,-17.499993271696958,3.4361398980931304
